"","x"
"1","nube"
"2","multinube"
"3","nube"
"4","nube"
"5","multinube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","multinube"
"12","multinube"
"13","nube"
"14","nube"
"15","nube"
"16","multinube"
"17","cieloDespejado"
"18","multinube"
"19","multinube"
"20","nube"
"21","nube"
"22","multinube"
"23","nube"
"24","nube"
"25","nube"
"26","multinube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","cieloDespejado"
"32","nube"
"33","multinube"
"34","multinube"
"35","multinube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","multinube"
"42","nube"
"43","multinube"
"44","multinube"
"45","nube"
"46","nube"
"47","multinube"
"48","multinube"
"49","multinube"
"50","nube"
"51","nube"
"52","multinube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","multinube"
"58","nube"
"59","nube"
"60","multinube"
"61","nube"
"62","nube"
"63","cieloDespejado"
"64","nube"
"65","nube"
"66","nube"
"67","nube"
"68","nube"
"69","nube"
"70","nube"
"71","nube"
"72","nube"
"73","multinube"
"74","nube"
"75","nube"
"76","cieloDespejado"
"77","nube"
"78","multinube"
"79","nube"
"80","nube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","nube"
"88","multinube"
"89","multinube"
"90","nube"
"91","nube"
"92","multinube"
"93","nube"
"94","multinube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","cieloDespejado"
"105","nube"
"106","nube"
"107","cieloDespejado"
"108","multinube"
"109","cieloDespejado"
"110","nube"
"111","nube"
"112","cieloDespejado"
"113","nube"
"114","nube"
"115","multinube"
"116","multinube"
"117","nube"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","nube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","cieloDespejado"
"131","nube"
"132","nube"
"133","cieloDespejado"
"134","multinube"
"135","nube"
"136","nube"
"137","nube"
"138","nube"
"139","nube"
"140","nube"
"141","nube"
"142","nube"
"143","nube"
"144","nube"
"145","multinube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","cieloDespejado"
"151","multinube"
"152","nube"
"153","cieloDespejado"
"154","multinube"
"155","nube"
"156","nube"
"157","multinube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","nube"
"165","nube"
"166","multinube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","multinube"
"172","nube"
"173","nube"
"174","nube"
"175","multinube"
"176","nube"
"177","nube"
"178","multinube"
"179","nube"
