"","x"
"1","cieloDespejado"
"2","nube"
"3","cieloDespejado"
"4","nube"
"5","multinube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","cieloDespejado"
"18","nube"
"19","nube"
"20","nube"
"21","multinube"
"22","nube"
"23","nube"
"24","nube"
"25","nube"
"26","nube"
"27","nube"
"28","cieloDespejado"
"29","multinube"
"30","nube"
"31","cieloDespejado"
"32","nube"
"33","nube"
"34","multinube"
"35","multinube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","nube"
"42","nube"
"43","nube"
"44","nube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","cieloDespejado"
"57","nube"
"58","nube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","cieloDespejado"
"64","nube"
"65","nube"
"66","nube"
"67","nube"
"68","nube"
"69","nube"
"70","nube"
"71","nube"
"72","nube"
"73","nube"
"74","cieloDespejado"
"75","nube"
"76","cieloDespejado"
"77","nube"
"78","multinube"
"79","nube"
"80","nube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","cieloDespejado"
"103","nube"
"104","cieloDespejado"
"105","nube"
"106","nube"
"107","cieloDespejado"
"108","nube"
"109","cieloDespejado"
"110","nube"
"111","multinube"
"112","cieloDespejado"
"113","nube"
"114","nube"
"115","multinube"
"116","multinube"
"117","nube"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","cieloDespejado"
"123","cieloDespejado"
"124","multinube"
"125","nube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","cieloDespejado"
"131","nube"
"132","nube"
"133","cieloDespejado"
"134","nube"
"135","nube"
"136","nube"
"137","nube"
"138","multinube"
"139","nube"
"140","nube"
"141","cieloDespejado"
"142","nube"
"143","nube"
"144","multinube"
"145","nube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","cieloDespejado"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","nube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","multinube"
"164","nube"
"165","cieloDespejado"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","nube"
"177","nube"
"178","nube"
"179","nube"
